COD_ZNJE,COD_ZENT,COD_ZDES_SELLIN,COD_ZDEM,COD_ZDES_SELLOUT,GERENCIA,COD_SKU,INICIATIVA,REGIÓN,PAÍS,NODO,RESPONSABLE DE PAGO,GRUPO CLIENTE SI,GRUPO CLIENTE SO,DESTINATARIO,COD_ZTER,TERRITORIO,ORG VTA,CLIENTE,Homologo,SKU + Descripción/Material,Descripción/Material,CATEGORÍA,MATERIAL,DESCRIPCIÓN ABREVIADA,ETAPA,FAMILIA,LÍNEA,PROTEÍNA,FORMATO,PROCESO,PLANTA,TIPO PRODUCTO,ESTADO SKU,TOTAL,DATO,COD_DATO,Atributo,MES,Valor
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,SEP,202509,48.5
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,OCT,202510,49
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,NOV,202511,48
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,DIC,202512,50.5
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,ENE,202501,3.600452416
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,FEB,202502,4.685520267
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,MAR,202503,4.833484065
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,ABR,202504,4.734841533
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,MAY,202505,4.734841533
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,JUN,202506,4.833484065
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,JUL,202507,4.685520267
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,AGO,202508,4.685520267
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,SEP,202509,4.784162799
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,OCT,202510,4.833484065
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,NOV,202511,4.734841533
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530432,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530432/7530434,7530432/7530434 - CLA 35% 0.8 EXT,CLA 35% 0.8 EXT,Alimento Camarones,Nicovita Classic Camarón 35% 0.8 EXT ,CLA 35% 0.8 EXT,INICIADOR,CLA,REG,0.35,0.8,EXTRUIDO,PNT,PORTAFOLIO,ACTIVO,56.12760067,PB2025,PB+0,DIC,202512,4.981447863
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530723,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530723,7530723 - CLA 35% 1.2 PEL,CLA 35% 1.2 PEL,Alimento Camarones,Nicovita Classic Camaron 35% 1.2,CLA 35% 1.2 PEL,PRE ENGORDE,CLA,REG,0.35,1.2,PELETIZADO,PNT,PORTAFOLIO,ACTIVO,77.27774968,PB2025,PB+0,ENE,202501,4.957184294
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530723,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530723,7530723 - CLA 35% 1.2 PEL,CLA 35% 1.2 PEL,Alimento Camarones,Nicovita Classic Camaron 35% 1.2,CLA 35% 1.2 PEL,PRE ENGORDE,CLA,REG,0.35,1.2,PELETIZADO,PNT,PORTAFOLIO,ACTIVO,77.27774968,PB2025,PB+0,FEB,202502,6.451130246
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530723,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530723,7530723 - CLA 35% 1.2 PEL,CLA 35% 1.2 PEL,Alimento Camarones,Nicovita Classic Camaron 35% 1.2,CLA 35% 1.2 PEL,PRE ENGORDE,CLA,REG,0.35,1.2,PELETIZADO,PNT,PORTAFOLIO,ACTIVO,77.27774968,PB2025,PB+0,MAR,202503,6.654850148
2102247,1000026951,1000025591,NA,1000025591,Gerencia Aliados y Directo B&B+,7530723,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,G. VINICIO AGUIRRE,G. VINICIO AGUIRRE,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530723,7530723 - CLA 35% 1.2 PEL,CLA 35% 1.2 PEL,Alimento Camarones,Nicovita Classic Camaron 35% 1.2,CLA 35% 1.2 PEL,PRE ENGORDE,CLA,REG,0.35,1.2,PELETIZADO,PNT,PORTAFOLIO,ACTIVO,77.27774968,PB2025,PB+0,ABR,202504,6.51903688
