Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000053149	SUCS_NB	EDIFC	_	13027	MXN	01/01/2010	2024	1	12	4626.23
NMP01	000000053150	SUCS_NB	EDIFC	_	13002	MXN	01/01/2010	2024	1	12	3367.18
NMP01	000000053151	SUCS_NB	EDIFC	_	13000	MXN	01/01/2010	2024	1	12	8723.08
NMP01	000000053152	SUCS_NB	EDIFC	_	13028	MXN	01/01/2010	2024	1	12	2824.4
NMP01	000000053153	SUCS_NB	EDIFC	_	13022	MXN	01/01/2010	2024	1	12	3017.76
NMP01	000000053154	CORP	EDIFC	25100	ADMON	MXN	01/03/2015	2024	1	12	5792.89
NMP01	000000053158	SUCS_NB	EDIFC	_	13000	MXN	01/01/2010	2024	1	12	7601.27
NMP01	000000053159	SUCS_NB	EDIFC	_	13025	MXN	01/01/2010	2024	1	12	3145.2
NMP01	000000053166	SUCS_NB	EDIFC	_	13021	MXN	01/01/2010	2024	1	12	1484.09
NMP01	000000053167	SUCS_NB	EDIFC	_	13030	MXN	01/01/2010	2024	1	12	854.95
NMP01	000000053169	SUCS_NB	EDIFC	_	13019	MXN	01/01/2010	2024	1	12	2891.95
NMP01	000000053170	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	2985.97
NMP01	000000053171	SUCS_NB	EDIFC	_	13012	MXN	01/01/2010	2024	1	12	416.57
NMP01	000000053172	SUCS_NB	EDIFC	_	13006	MXN	01/01/2010	2024	1	12	416.57
NMP01	000000053173	SUCS_NB	EDIFC	_	13029	MXN	01/01/2010	2024	1	12	416.57
NMP01	000000053174	SUCS_NB	EDIFC	_	13004	MXN	01/01/2010	2024	1	12	416.57
NMP01	000000053175	CORP	EDIFC	15000	ADMON	MXN	01/01/2010	2024	1	12	27090.74
NMP01	000000053176	SUCS_NB	EDIFC	_	13012	MXN	01/01/2010	2024	1	12	1140.2
NMP01	000000053178	CORP	EDIFC	16202	ADMON	MXN	01/02/2022	2024	1	12	9181.55
NMP01	000000053181	CORP	EDIFC	23000	ADMON	MXN	01/03/2012	2024	1	12	1117.22
NMP01	000000053185	SUCS_NB	EDIFC	_	13028	MXN	01/01/2010	2024	1	12	1487.56
NMP01	000000053188	CORP	EDIFC	25404	ADMON	MXN	01/09/2014	2024	1	12	11797.62
NMP01	000000053236	SUCS_NB	EDIFC	_	13014	MXN	01/02/2010	2024	1	12	114348.7
NMP01	000000053320	SUCS_NB	EDIFC	_	13032	MXN	01/02/2010	2024	1	12	2694.95
NMP01	000000053321	SUCS_NB	EDIFC	_	13001	MXN	01/02/2010	2024	1	12	7579.65
NMP01	000000053322	SUCS_NB	EDIFC	_	13003	MXN	01/02/2010	2024	1	12	7660.21
NMP01	000000053323	SUCS_NB	EDIFC	_	13009	MXN	01/02/2010	2024	1	12	7777.94
NMP01	000000053324	SUCS_NB	EDIFC	_	13011	MXN	01/02/2010	2024	1	12	7174.79
NMP01	000000053325	SUCS_NB	EDIFC	_	13016	MXN	01/02/2010	2024	1	12	8862.1
NMP01	000000053326	SUCS_NB	EDIFC	_	13028	MXN	01/02/2010	2024	1	12	13218.45
NMP01	000000053327	SUCS_NB	EDIFC	_	13013	MXN	01/02/2010	2024	1	12	1884.95
NMP01	000000053328	SUCS_NB	EQOFN	_	13060	MXN	01/02/2012	2024	1	12	9338.47
NMP01	000000053329	SUCS_NB	EQOFN	_	13060	MXN	01/02/2012	2024	1	12	3037.45
NMP01	000000053330	SUCS_NB	EQSEG	_	13287	MXN	01/01/2014	2024	1	12	4454.9
NMP01	000000053331	SUCS_NB	EDIFC	_	13060	MXN	01/02/2010	2024	1	12	12983.61
NMP01	000000053355	SUCS_NB	EDIFC	_	13032	MXN	01/03/2010	2024	1	12	120319.39
NMP01	000000053359	SUCS_NB	EDIFC	_	13000	MXN	01/03/2010	2024	1	12	55066
NMP01	000000053360	SUCS_NB	EDIFC	_	13014	MXN	01/03/2010	2024	1	12	28386.67
NMP01	000000053435	SUCS_NB	EDIFC	_	13032	MXN	01/05/2010	2024	1	12	35322.18
NMP01	000000053545	SUCS_NB	EDIFC	_	13014	MXN	01/05/2010	2024	1	12	87175.45
NMP01	000000053546	SUCS_NB	EDIFC	_	13035	MXN	01/05/2010	2024	1	12	-0.1
NMP01	000000053547	SUCS_NB	EDIFC	_	13032	MXN	01/05/2010	2024	1	12	71794.91
NMP01	000000055138	SUCS_NB	EDIFC	_	13028	MXN	01/09/2010	2024	1	12	92521.74
NMP01	000000055139	SUCS_NB	EDIFC	_	13014	MXN	01/09/2010	2024	1	12	60053.64
NMP01	000000055140	SUCS_NB	EDIFC	_	13032	MXN	01/09/2010	2024	1	12	16137.21
NMP01	000000055141	SUCS_NB	EDIFC	_	13032	MXN	01/09/2010	2024	1	12	48819.83
NMP01	000000055641	SUCS_NB	EDIFC	_	13000	MXN	01/09/2010	2024	1	12	30325.52
NMP01	000000055642	SUCS_NB	EDIFC	_	13008	MXN	01/09/2010	2024	1	12	2229.95
NMP01	000000055643	SUCS_NB	EDIFC	_	13000	MXN	01/09/2010	2024	1	12	7778.68
NMP01	000000055644	SUCS_NB	EDIFC	_	31001	MXN	01/02/2022	2024	1	12	34618.94
NMP01	000000055645	SUCS_NB	EDIFC	_	13003	MXN	01/09/2010	2024	1	12	5413.07
NMP01	000000055646	SUCS_NB	PREOP	_	13034	MXN	01/03/2012	2024	1	12	4259.75
NMP01	000000055647	CORP	EDIFC	25400	ADMON	MXN	01/09/2014	2024	1	12	4846.33
NMP01	000000055648	CORP	EDIFC	17000	ADMON	MXN	01/03/2018	2024	1	12	1489.83
NMP01	000000055649	CORP	PREOP	25400	ADMON	MXN	01/09/2014	2024	1	12	1184.87
NMP01	000000055650	CORP	EDIFC	25400	ADMON	MXN	01/09/2014	2024	1	12	440.94
NMP01	000000055651	SUCS_NB	EDIFC	_	13000	MXN	01/09/2010	2024	1	12	3205.8
NMP01	000000055652	CORP	EDIFC	25400	ADMON	MXN	01/09/2014	2024	1	12	1173.27
NMP01	000000055653	SUCS_NB	EDIFC	_	13012	MXN	01/09/2010	2024	1	12	332.45
NMP01	000000055654	SUCS_NB	EDIFC	_	13013	MXN	01/09/2010	2024	1	12	467.48
NMP01	000000055655	SUCS_NB	EDIFC	_	13000	MXN	01/09/2010	2024	1	12	4056.2
NMP01	000000055656	SUCS_NB	EDIFC	_	13022	MXN	01/09/2010	2024	1	12	1486.68
NMP01	000000055657	SUCS_NB	EDIFC	_	13025	MXN	01/09/2010	2024	1	12	1104.95
NMP01	000000055896	SUCS_NB	EDIFC	_	13014	MXN	01/10/2010	2024	1	12	36134.48
NMP01	000000055899	SUCS_NB	EDIFC	_	13028	MXN	01/10/2010	2024	1	12	34888.59
NMP01	000000056040	SUCS_NB	EDIFC	_	13028	MXN	01/10/2010	2024	1	12	-9363.92
NMP01	000000058001	SUCS_NB	EDIFC	_	13022	MXN	01/12/2010	2024	1	12	4333.27
NMP01	000000058002	SUCS_NB	EDIFC	_	13030	MXN	01/12/2010	2024	1	12	6333.27
NMP01	000000058003	SUCS_NB	EDIFC	_	13000	MXN	01/12/2010	2024	1	12	44780.36
NMP01	000000058343	SUCS_NB	EDIFC	_	13027	MXN	01/12/2010	2024	1	12	2802.64
NMP01	000000058344	SUCS_NB	EDIFC	_	13022	MXN	01/12/2010	2024	1	12	3201.44
NMP01	000000058345	SUCS_NB	EDIFC	_	13027	MXN	01/12/2010	2024	1	12	1170.6
NMP01	000000058346	SUCS_NB	EDIFC	_	13027	MXN	01/12/2010	2024	1	12	656.6
NMP01	000000058347	SUCS_NB	EDIFC	_	13016	MXN	01/12/2010	2024	1	12	3946.07
NMP01	000000058348	SUCS_NB	EDIFC	_	31001	MXN	01/02/2022	2024	1	12	2298.62
NMP01	000000058349	SUCS_NB	EDIFC	_	13008	MXN	01/12/2010	2024	1	12	6902.67
NMP01	000000058350	SUCS_NB	PREOP	_	13034	MXN	01/03/2012	2024	1	12	2797.94
NMP01	000000058351	SUCS_NB	EDIFC	_	13020	MXN	01/12/2010	2024	1	12	6666.6
